id_port,nom_port,nom_formel,code_iso2_pays,latitude,longitude,taille_port,type_port,capacite_max_navire
31250,Antwerpen,Port of Antwerpen,BE,51.21667,4.4,Large,River Tide Gate,Under 500'
31280,Zeebrugge,Port of Zeebrugge,BE,51.33333,3.2,Medium,Coastal Breakwater,Over 500'
31470,London,Port of London,GB,51.5,-0.08333,Large,River Basin,Over 500'
31560,Felixstowe,Port of Felixstowe,GB,51.95,1.31667,Very Small,River Natural,Over 500'
34690,Liverpool,Port of Liverpool,GB,53.41667,-3,Large,River Tide Gate,Over 500'
35580,Southampton,Port of Southampton,GB,50.9,-1.4,Large,River Basin,Over 500'
35840,Port Of Le Havre,Port of Port Of Le Havre,FR,49.48333,0.11667,Large,River Tide Gate,Over 500'
38290,Cadiz,Port of Cadiz,ES,36.53333,-6.3,Medium,Coastal Breakwater,Under 500'
38310,Algeciras,Port of Algeciras,ES,36.13333,-5.43333,Small,Coastal Breakwater,Over 500'
38480,Valencia,Port of Valencia,ES,39.45,-0.31667,Medium,Coastal Breakwater,Under 500'
38540,Tarragona,Port of Tarragona,ES,41.1,1.23333,Large,Coastal Breakwater,Under 500'
38550,Barcelona,Port of Barcelona,ES,41.35,2.16667,Large,Coastal Breakwater,Over 500'
38750,Sete,Port of Sete,FR,43.4,3.7,Small,Coastal Breakwater,Under 500'
